,movieId,polarity,subjectivity
0,89904,0.27,0.42
1,109455,0.04,0.48
2,215,0.16,0.57
3,125305,0.11,0.47
4,110730,0.11,0.52
5,120490,0.24,0.65
6,72998,0.27,0.59
7,80126,0.11,0.56
8,5034,0.28,0.47
9,110730,0.06,0.56
10,3638,0.14,0.54
11,2322,0.1,0.47
12,142727,-0.0,0.39
13,140493,0.08,0.55
14,78084,0.06,0.4
15,2524,0.17,0.47
16,111674,-0.02,0.46
17,110603,0.1,0.39
18,109723,0.23,0.56
19,5034,0.17,0.56
20,111551,0.19,0.48
21,63062,0.31,0.63
22,2989,0.26,0.47
23,104841,0.28,0.59
24,2376,0.16,0.55
25,3633,0.18,0.56
26,2951,0.22,0.54
27,68157,0.27,0.56
28,33660,0.2,0.5
29,109723,0.19,0.47
30,5034,0.27,0.59
31,109723,0.47,0.53
32,109723,0.48,0.62
33,109723,0.25,0.7
34,109723,0.41,0.52
35,109723,0.33,0.59
36,109723,0.36,0.51
37,5034,0.32,0.61
38,109723,0.35,0.54
39,2967,-0.02,0.62
40,2329,0.36,0.65
41,109723,0.26,0.54
42,105844,0.01,0.45
43,7923,0.18,0.48
44,106782,0.1,0.56
45,110730,0.14,0.58
46,86190,0.16,0.45
47,111343,0.13,0.42
48,5034,0.44,0.68
49,109723,0.34,0.58
50,109723,0.38,0.48
51,2485,0.15,0.47
52,135919,0.04,0.48
53,109072,0.08,0.52
54,110553,0.25,0.55
55,121194,-0.04,0.54
56,82454,0.27,0.31
57,5034,0.24,0.43
58,108729,0.03,0.58
59,108188,0.27,0.41
60,109723,0.5,0.67
61,109723,0.22,0.53
62,26540,-0.04,0.54
63,109723,0.4,0.5
64,157019,0.14,0.53
65,109723,0.52,0.66
66,5034,0.14,0.4
67,109723,0.33,0.52
68,110826,0.04,0.44
69,108928,0.11,0.45
70,108928,0.27,0.38
71,110295,-0.06,0.56
72,109723,0.32,0.57
73,109723,0.32,0.39
74,5034,0.02,0.5
75,124857,-0.08,0.53
76,109723,0.25,0.45
77,912,0.34,0.62
78,109723,0.45,0.52
79,3424,0.04,0.59
80,110553,-0.02,0.41
81,125253,-0.38,0.67
82,6333,0.2,0.44
83,5034,0.08,0.74
84,109723,0.26,0.46
85,1034,0.29,0.61
86,106916,0.21,0.42
87,109723,0.46,0.66
88,108945,0.25,0.5
89,80551,0.24,0.53
90,109723,0.44,0.5
91,109723,0.28,0.53
92,106782,-0.01,0.61
93,5034,0.24,0.19
94,110968,0.14,0.57
95,56171,-0.16,0.57
96,109723,0.42,0.57
97,107426,0.05,0.39
98,111389,0.09,0.62
99,111443,0.13,0.52
100,3424,-0.03,0.46
101,106920,0.05,0.48
102,5034,0.45,0.55
103,3095,0.41,0.56
104,65927,0.13,0.43
105,109723,0.38,0.5
106,109723,0.39,0.48
107,108945,0.06,0.46
108,90645,0.27,0.37
109,108599,0.34,0.44
110,296,0.13,0.48
111,5034,0.49,0.74
112,3551,0.1,0.43
113,1986,-0.01,0.47
114,76108,0.07,0.42
115,110553,0.05,0.48
116,110899,-0.09,0.55
117,121487,0.34,0.56
118,110968,0.11,0.45
119,145506,0.03,0.5
120,110553,0.06,0.51
121,5034,0.45,0.72
122,110750,0.18,0.37
