,movieId,polarity,subjectivity
0,30816,0.42,0.75
1,4636,0.22,0.49
2,7394,0.31,0.54
3,33830,0.24,0.63
4,4386,-0.03,0.66
5,32596,0.07,0.47
6,106080,0.04,0.53
7,260,0.11,0.53
8,34048,0.41,0.62
9,2966,0.17,0.56
10,42208,0.22,0.45
11,4002,0.25,0.68
12,2367,0.16,0.65
13,33493,0.21,0.64
14,8196,0.3,0.62
15,3489,0.33,0.47
16,7900,0.2,0.63
17,33794,0.2,0.52
18,33834,-0.02,0.69
19,33725,0.12,0.45
20,93742,0.3,0.56
21,62972,0.08,0.47
22,4644,0.05,0.45
23,33836,0.14,0.49
24,8369,0.06,0.41
25,34482,0.11,0.6
26,7900,0.28,0.56
27,780,0.3,0.59
28,4410,0.31,0.5
29,1104,-0.07,0.28
30,33794,0.57,0.69
31,4082,0.18,0.58
32,162496,0.2,0.38
33,7900,0.22,0.58
34,32966,0.17,0.56
35,34048,0.03,0.51
36,34048,-0.04,0.51
37,1073,0.37,0.68
38,31658,0.28,0.6
39,33834,0.11,0.49
40,34048,0.25,0.58
41,32017,0.24,0.67
42,7900,0.01,0.55
43,949,0.26,0.44
44,370,-0.09,0.7
45,1882,0.13,0.38
46,8094,0.3,0.57
47,163895,0.21,0.4
48,7616,0.42,0.78
49,2028,0.09,0.47
50,7900,0.05,0.56
51,31696,0.0,0.56
52,34048,0.19,0.66
53,6277,0.11,0.56
54,34552,0.12,0.53
55,33817,0.11,0.47
56,32022,0.16,0.37
57,33681,-0.17,0.68
58,7900,0.17,0.61
59,32587,0.21,0.54
60,924,0.1,0.48
61,858,0.5,0.61
62,32017,0.28,0.54
63,5027,0.25,0.52
64,7900,-0.1,0.48
65,27840,0.02,0.46
66,4167,-0.03,0.58
67,153,0.11,0.53
68,33836,0.06,0.42
69,33679,0.22,0.54
70,2804,0.27,0.56
71,1377,0.15,0.6
72,1213,0.34,0.57
73,7936,0.19,0.64
74,4921,0.11,0.46
75,7900,0.02,0.41
76,33834,-0.05,0.35
77,27822,0.14,0.47
78,8958,0.23,0.51
79,33493,0.19,0.49
80,5025,0.15,0.39
81,163188,0.25,0.4
82,6643,0.23,0.53
83,7900,0.38,0.55
84,8909,0.27,0.57
85,713,0.07,0.36
86,1090,0.01,0.62
87,3754,0.24,0.44
88,6879,-0.11,0.46
89,4776,0.09,0.61
90,55106,0.39,0.58
91,33660,0.12,0.51
92,3210,0.18,0.6
93,34048,0.23,0.53
94,53827,0.3,0.54
95,6874,0.1,0.49
96,173367,0.21,0.51
97,41736,0.09,0.36
98,126038,0.35,0.66
99,34048,0.13,0.42
100,6872,-0.09,0.56
101,34048,0.21,0.53
102,7900,0.09,0.44
103,176977,0.11,0.38
104,88589,0.09,0.62
105,7139,-0.01,0.45
106,1348,0.16,0.44
107,32799,0.19,0.47
108,31424,-0.1,0.44
109,3363,0.22,0.48
110,26242,0.01,0.38
111,8917,0.03,0.52
112,7900,0.14,0.57
113,32792,0.15,0.47
114,5347,0.18,0.63
115,33794,0.24,0.52
116,6447,0.24,0.45
117,33836,0.37,0.71
118,8808,0.43,0.71
119,32213,0.19,0.35
120,40226,0.35,0.7
121,7900,0.04,0.49
122,5666,0.31,0.45
123,59832,-0.03,0.5
124,33834,-0.05,0.53
125,170371,0.29,0.69
126,6725,0.37,0.53
127,179573,0.01,0.51
128,34048,0.21,0.46
129,1269,0.11,0.49
130,33493,0.34,0.49
131,204,0.09,0.42
132,7900,0.12,0.58
133,158296,0.06,0.53
134,33838,0.31,0.4
135,1051,0.36,0.53
136,34150,0.22,0.39
137,107328,-0.15,0.39
138,44763,0.19,0.58
139,33836,0.23,0.64
140,34048,-0.07,0.54
141,1589,0.39,0.42
142,231,0.08,0.44
143,34072,0.22,0.55
144,107328,0.16,0.52
145,33836,-0.06,0.5
146,33794,0.11,0.51
147,33660,-0.1,0.43
148,3043,0.02,0.66
149,107328,0.32,0.56
150,158296,0.16,0.5
151,106302,0.26,0.47
152,122133,0.47,0.58
153,42004,0.42,0.58
154,43269,0.02,0.67
155,4921,0.58,0.63
156,107328,0.04,0.58
157,4289,0.08,0.47
158,7153,0.16,0.54
159,8910,0.27,0.65
160,5903,0.26,0.54
161,33930,-0.01,0.56
162,5995,0.18,0.63
163,107328,0.07,0.57
164,30816,0.26,0.6
165,34048,0.16,0.54
166,26080,0.01,0.58
167,26551,-0.11,0.55
168,50,0.15,0.55
169,107328,0.31,0.55
170,33836,-0.06,0.64
171,3761,0.12,0.49
172,33004,0.09,0.6
173,2316,0.26,0.54
174,4525,0.22,0.52
175,32587,0.06,0.63
176,130744,0.17,0.55
177,55489,0.37,0.47
178,116688,-0.06,0.56
179,107328,0.14,0.33
180,33834,-0.02,0.49
181,34048,0.47,0.54
182,6392,0.13,0.45
183,7032,0.34,0.54
184,2628,0.13,0.55
185,6874,0.33,0.63
186,34048,0.17,0.49
187,8918,-0.22,0.51
188,158673,0.06,0.56
189,107328,0.12,0.52
190,2081,0.31,0.62
191,33794,0.29,0.54
192,31647,-0.08,0.38
193,26005,0.27,0.53
194,26012,0.27,0.55
195,25995,0.19,0.61
196,34048,0.21,0.52
