,movieId,polarity,subjectivity
0,102497,0.43,0.51
1,1341,0.06,0.52
2,46578,0.34,0.56
3,47261,-0.23,0.43
4,7932,0.09,0.45
5,2502,0.22,0.55
6,176203,0.28,0.62
7,93406,0.13,0.3
8,1341,0.16,0.5
9,49917,0.25,0.58
10,47518,0.35,0.62
11,46062,0.29,0.5
12,116545,-0.2,0.74
13,45208,0.04,0.43
14,47646,0.2,0.41
15,1341,0.01,0.46
16,8715,0.29,0.5
17,115522,0.18,0.51
18,4417,-0.06,0.54
19,39183,0.16,0.55
20,47493,0.16,0.42
21,46965,-0.12,0.63
22,92399,-0.01,0.53
23,5354,0.22,0.55
24,1341,-0.05,0.54
25,5684,-0.0,0.48
26,156659,0.27,0.68
27,4799,0.08,0.64
28,117918,0.22,0.46
29,71488,-0.05,0.48
30,2253,-0.01,0.78
31,6725,-0.05,0.32
32,2440,0.13,0.54
33,27595,-0.39,0.56
34,171767,0.22,0.52
35,72035,0.07,0.62
36,39416,0.15,0.53
37,136319,-0.04,0.35
38,46578,0.24,0.59
39,215,0.15,0.54
40,1341,0.12,0.6
41,976,0.21,0.46
42,49917,-0.04,0.64
43,46578,0.11,0.51
44,90845,0.13,0.63
45,1690,0.39,0.51
46,8811,0.08,0.44
47,1341,0.12,0.44
48,47646,0.3,0.51
49,113066,0.33,0.44
50,34162,-0.19,0.52
51,49917,0.01,0.4
52,2106,0.32,0.66
53,171737,0.13,0.62
54,464,0.24,0.54
55,5323,0.17,0.56
56,1341,0.25,0.57
57,4654,0.17,0.54
58,2775,0.19,0.52
59,71472,0.1,0.49
60,47518,0.23,0.58
61,47644,0.31,0.59
62,26398,-0.07,0.62
63,1341,0.09,0.55
64,47640,0.29,0.41
65,39715,0.18,0.49
66,170137,0.28,0.53
67,1214,-0.13,0.59
68,1341,0.14,0.54
69,171737,0.35,0.7
70,46974,-0.04,0.45
71,922,0.17,0.53
72,136530,0.22,0.39
73,40148,-0.0,0.54
74,40732,0.02,0.43
75,27904,0.39,0.74
76,47382,0.31,0.59
77,6591,0.06,0.55
78,7450,0.23,0.53
79,45720,0.12,0.4
80,37475,0.15,0.57
81,46530,0.41,0.64
82,7834,0.19,0.55
83,102765,-0.01,0.5
84,7163,0.31,0.48
85,159877,0.12,0.61
86,46965,0.11,0.52
87,357,0.27,0.56
88,47644,0.16,0.46
89,45728,0.03,0.56
90,122421,0.14,0.45
91,165271,-0.0,0.44
92,164163,0.14,0.48
93,1035,0.24,0.43
94,27899,-0.03,0.56
95,38600,0.22,0.69
96,45666,0.04,0.69
97,165271,0.13,0.63
98,101114,0.16,0.5
99,36276,0.09,0.43
100,99941,0.13,0.45
101,153,0.22,0.5
102,46530,0.2,0.38
103,34048,0.15,0.53
104,51917,0.18,0.65
105,82308,0.34,0.59
106,4896,-0.15,0.6
107,124703,0.17,0.56
108,6550,-0.06,0.51
109,7573,0.02,0.56
110,44191,0.18,0.62
111,46965,0.16,0.5
112,3016,0.25,0.58
113,44800,0.17,0.5
114,82308,-0.06,0.5
115,47894,0.03,0.33
116,45679,0.1,0.46
117,47044,0.09,0.49
118,379,0.16,0.45
119,39777,0.17,0.47
120,82308,0.22,0.43
121,5171,0.33,0.52
122,632,0.13,0.38
123,1045,0.06,0.48
124,158250,0.3,0.56
125,121553,0.18,0.55
126,82308,0.26,0.37
127,45666,0.13,0.56
128,174963,0.26,0.75
129,46530,0.06,0.44
130,5312,-0.12,0.52
131,45852,-0.09,0.73
132,126943,0.1,0.53
133,47642,0.28,0.68
134,140938,0.66,0.59
135,7382,0.12,0.58
136,6803,0.35,0.55
137,154258,0.13,0.55
138,44731,-0.31,0.55
139,5991,0.14,0.5
140,144144,0.01,0.45
141,30793,0.11,0.62
142,33836,-0.04,0.55
143,148152,0.1,0.47
144,80952,0.23,0.51
145,85616,0.13,0.53
146,47805,0.08,0.53
147,5833,0.4,0.58
148,5396,0.15,0.67
149,39796,0.25,0.49
150,432,0.13,0.51
151,33903,-0.07,0.5
152,4428,0.15,0.47
153,42553,0.18,0.41
154,46974,0.22,0.54
155,40966,0.24,0.6
156,8528,0.15,0.6
157,38992,0.24,0.48
158,30793,0.21,0.57
159,6440,0.25,0.58
160,7361,0.07,0.54
161,61862,-0.01,0.62
162,46965,0.19,0.59
163,48082,0.1,0.54
164,133751,0.3,0.35
165,4860,0.21,0.46
166,43836,0.08,0.53
167,137593,0.28,0.54
168,7360,0.17,0.42
169,47122,0.25,0.6
170,1580,0.16,0.59
171,45137,-0.21,0.55
172,47937,0.07,0.57
