,movieId,polarity,subjectivity
0,1281,0.2,0.47
1,90531,0.32,0.56
2,94953,0.03,0.59
3,93816,-0.06,0.64
4,130778,0.23,0.61
5,91976,-0.02,0.49
6,1228,-0.03,0.5
7,73168,0.05,0.51
8,155380,-0.26,0.71
9,85412,0.1,0.35
10,93939,0.53,0.69
11,159554,0.06,0.5
12,247,0.14,0.44
13,130778,0.2,0.5
14,93492,0.08,0.42
15,178107,0.18,0.62
16,165121,0.09,0.48
17,1209,0.11,0.33
18,4508,0.1,0.39
19,130778,0.2,0.46
20,1219,0.09,0.5
21,86911,-0.08,0.52
22,92422,0.07,0.49
23,94469,0.1,0.5
24,87808,0.05,0.5
25,93297,0.21,0.51
26,6664,0.1,0.47
27,81788,0.12,0.51
28,1160,0.25,0.54
29,99380,-0.21,0.59
30,95311,0.29,0.58
31,3504,0.08,0.56
32,72356,0.2,0.63
33,90717,0.22,0.61
34,89904,0.15,0.39
35,953,0.28,0.53
36,91094,-0.14,0.54
37,3871,0.22,0.44
38,922,0.1,0.53
39,5338,0.07,0.37
40,84374,0.32,0.58
41,153,0.09,0.55
42,79695,0.01,0.75
43,1131,0.13,0.51
44,90345,-0.01,0.54
45,78499,0.23,0.54
46,92422,0.2,0.62
47,160464,0.23,0.47
48,104011,0.18,0.5
49,5338,0.2,0.55
50,91134,0.13,0.43
51,116463,0.32,0.62
52,8017,0.19,0.6
53,26172,-0.04,0.4
54,90528,0.04,0.5
55,89904,0.12,0.29
56,2459,0.05,0.66
57,89904,0.24,0.6
58,91890,0.46,0.53
59,70130,0.22,0.43
60,3449,0.14,0.52
61,72701,0.14,0.51
62,82202,0.11,0.59
63,5890,0.16,0.53
64,157184,0.17,0.72
65,165017,0.28,0.45
66,86833,-0.07,0.67
67,1132,0.11,0.66
68,93297,-0.11,0.48
69,155002,0.1,0.51
70,3344,0.1,0.52
71,91673,0.09,0.45
72,89904,0.3,0.64
73,74851,0.11,0.53
74,5283,0.06,0.57
75,7244,0.08,0.51
76,91542,0.27,0.51
77,136770,0.12,0.5
78,33162,0.06,0.45
79,2796,-0.11,0.65
80,121451,0.05,0.4
81,93790,0.13,0.47
82,93819,0.08,0.48
83,145789,0.12,0.47
84,1611,0.26,0.63
85,3258,0.29,0.55
86,85438,0.06,0.48
87,2796,0.17,0.6
88,91866,-0.01,0.5
89,5890,0.1,0.47
90,67197,-0.05,0.43
91,1347,0.15,0.48
92,1283,0.33,0.51
93,92309,0.26,0.53
94,177215,-0.13,0.68
95,87192,0.08,0.45
96,2796,0.37,0.34
97,78679,0.19,0.4
98,88129,-0.06,0.52
99,223,0.12,0.47
100,94482,0.11,0.48
101,171495,0.17,0.39
102,157126,-0.02,0.34
103,95107,-0.06,0.42
104,94953,0.2,0.53
105,131250,0.12,0.47
106,83132,0.14,0.51
107,2796,0.28,0.62
108,90888,0.12,0.55
109,79895,0.08,0.65
110,134751,0.34,0.58
111,90624,0.06,0.43
112,1221,0.23,0.48
113,91974,0.21,0.48
114,94953,-0.13,0.59
115,7387,0.1,0.54
116,2796,-0.08,0.52
117,89480,0.09,0.65
