,movieId,polarity,subjectivity
0,27822,-0.07,0.51
1,27808,0.36,0.65
2,49571,0.22,0.55
3,2520,0.15,0.41
4,8376,0.12,0.6
5,104135,-0.05,0.62
6,33646,0.25,0.65
7,31502,0.27,0.4
8,78519,0.31,0.67
9,1210,0.15,0.46
10,6731,0.13,0.5
11,2520,0.17,0.55
12,5945,0.13,0.5
13,33493,0.04,0.63
14,7118,0.04,0.58
15,90239,0.36,0.56
16,33437,0.05,0.41
17,27434,-0.15,0.48
18,7244,0.16,0.52
19,2520,0.34,0.57
20,725,0.07,0.61
21,33493,0.27,0.51
22,33493,0.18,0.45
23,2641,0.26,0.51
24,2520,0.2,0.53
25,38499,0.09,0.5
26,1339,0.48,0.67
27,8636,0.18,0.55
28,83605,-0.11,0.59
29,3363,-0.1,0.27
30,8376,0.03,0.62
31,33166,0.17,0.56
32,33679,0.1,0.46
33,33683,0.35,0.59
34,2520,0.28,0.64
35,3420,0.26,0.6
36,3007,0.15,0.45
37,4234,0.06,0.47
38,5682,0.25,0.34
39,6063,0.06,0.72
40,2636,0.07,0.48
41,2520,0.18,0.6
42,33722,0.21,0.53
43,1647,-0.03,0.6
44,33164,-0.04,0.45
45,3508,0.27,0.5
46,5993,0.12,0.47
47,8957,0.2,0.64
48,6862,0.23,0.44
49,1686,0.3,0.33
50,2520,0.08,0.67
51,33493,0.52,0.56
52,128201,-0.09,0.53
53,27608,0.17,0.52
54,73148,0.04,0.38
55,8830,0.29,0.54
56,74575,0.12,0.44
57,5872,0.01,0.45
58,136834,-0.15,0.52
59,2520,0.19,0.51
60,32930,-0.17,0.46
61,426,0.1,0.42
62,8376,0.23,0.6
63,3821,0.29,0.48
64,6213,-0.13,0.44
65,33681,0.0,0.64
66,122327,0.02,0.3
67,33669,0.4,0.41
68,2366,0.18,0.53
69,2520,0.1,0.46
70,6326,0.23,0.72
71,30810,0.02,0.46
72,8966,0.18,0.53
73,27837,-0.03,0.63
74,88574,0.17,0.63
75,6934,0.14,0.53
76,30825,0.18,0.53
77,33683,0.22,0.45
78,2520,0.13,0.52
79,30812,0.37,0.59
80,8983,0.1,0.59
81,8949,0.13,0.62
82,8972,0.24,0.43
83,32029,0.12,0.37
84,4642,0.34,0.57
85,32017,0.32,0.4
86,8977,0.12,0.53
87,33646,0.29,0.52
88,2520,0.21,0.52
89,31696,0.13,0.51
90,31431,0.19,0.42
91,33679,0.29,0.59
92,8494,0.25,0.45
93,32029,0.08,0.52
94,1227,0.41,0.66
95,33681,0.4,0.66
96,2520,0.3,0.37
97,30816,0.45,0.62
98,3365,0.18,0.52
99,159540,-0.02,0.44
100,33493,0.24,0.59
101,33683,0.11,0.52
102,73464,0.11,0.41
103,123153,0.28,0.53
104,2520,0.04,0.62
105,8147,0.17,0.45
106,27788,0.22,0.49
107,39796,0.03,0.57
108,6698,0.24,0.52
109,32587,0.38,0.73
110,3070,0.33,0.63
111,173063,0.06,0.53
112,32329,0.4,0.49
113,2520,0.36,0.43
114,3707,0.1,0.65
115,33660,0.03,0.61
116,30894,0.07,0.59
117,6559,0.15,0.41
118,33493,0.17,0.4
119,2520,0.16,0.64
120,1219,0.06,0.48
121,119878,0.13,0.53
122,869,0.17,0.56
123,110,0.18,0.5
