,movieId,polarity,subjectivity
0,146558,0.0,0.47
1,223,0.08,0.57
2,142999,0.19,0.5
3,112552,0.21,0.51
4,125654,0.16,0.43
5,1061,0.1,0.63
6,106741,0.24,0.55
7,37830,0.34,0.58
8,223,0.0,0.61
9,3499,0.16,0.63
10,121231,0.1,0.5
11,142488,0.16,0.61
12,135137,0.23,0.49
13,132660,0.26,0.7
14,223,-0.05,0.58
15,1835,0.16,0.45
16,109243,0.19,0.43
17,40425,0.16,0.55
18,117529,0.06,0.59
19,134130,0.22,0.41
20,142032,-0.18,0.48
21,109487,0.02,0.53
22,132442,-0.15,0.57
23,223,0.39,0.76
24,119141,0.07,0.63
25,527,0.12,0.37
26,80191,0.05,0.39
27,136696,0.04,0.49
28,116161,0.02,0.68
29,3728,0.19,0.51
30,129707,0.05,0.45
31,223,0.41,0.65
32,149418,0.06,0.44
33,112212,0.09,0.59
34,130686,0.1,0.48
35,136020,0.15,0.51
36,128267,0.12,0.48
37,40681,0.04,0.7
38,127116,0.03,0.61
39,223,0.28,0.58
40,141422,0.01,0.46
41,140711,0.07,0.55
42,3604,0.26,0.7
43,431,0.25,0.56
44,168428,-0.06,0.5
45,150401,0.15,0.39
46,6880,0.26,0.66
47,223,0.25,0.59
48,136020,-0.05,0.48
49,147022,-0.13,0.51
50,134021,0.26,0.56
51,112552,0.33,0.56
52,144976,0.22,0.62
53,223,0.25,0.41
54,41025,0.23,0.6
55,118246,0.3,0.6
56,127114,0.16,0.39
57,124368,-0.18,0.59
58,169100,0.04,0.53
59,2789,-0.2,0.6
60,48518,0.17,0.64
61,223,0.09,0.48
62,131796,0.18,0.53
63,145935,0.18,0.47
64,147024,0.06,0.46
65,136020,0.19,0.52
66,89039,0.1,0.54
67,588,0.24,0.42
68,8768,0.06,0.39
69,223,0.25,1.0
70,134130,0.27,0.48
71,122882,-0.1,0.68
72,32261,0.21,0.44
73,149386,0.04,0.51
74,27298,-0.01,0.57
75,142488,0.12,0.54
76,223,0.3,0.41
77,92391,0.08,0.3
78,8950,0.14,0.58
79,150694,0.35,0.57
80,223,0.74,0.86
81,147994,0.36,0.5
82,112911,0.08,0.49
83,136020,0.18,0.49
84,156633,0.11,0.39
85,137296,0.21,0.59
86,150401,0.17,0.47
87,145935,0.12,0.4
88,3451,0.28,0.55
89,223,0.1,0.47
90,127108,0.21,0.49
91,143385,-0.01,0.53
92,134368,0.14,0.63
93,135518,0.19,0.41
94,26259,0.18,0.45
95,223,0.44,0.86
96,111817,0.15,0.38
97,1258,0.11,0.67
98,123987,0.08,0.49
99,106565,0.06,0.45
100,6687,0.03,0.51
101,97752,0.01,0.42
102,3476,0.2,0.42
103,127321,-0.02,0.46
104,223,0.09,0.56
105,43679,0.12,0.5
106,113240,0.15,0.65
107,88131,0.22,0.47
108,144068,-0.15,0.55
109,122892,0.15,0.75
110,8684,0.2,0.63
111,169782,0.12,0.57
112,123347,0.06,0.57
113,134881,0.3,0.46
114,223,0.24,0.56
115,144746,0.28,0.53
116,123493,0.35,0.56
117,140247,0.16,0.51
118,140525,0.2,0.56
119,120799,-0.05,0.78
120,55820,0.06,0.72
121,146517,0.21,0.59
122,223,0.33,0.59
123,135133,0.0,0.54
124,116879,0.02,0.41
125,142422,0.05,0.46
126,82633,0.14,0.49
127,142448,-0.04,0.57
128,125916,0.03,0.38
129,223,0.35,0.64
130,57640,0.05,0.42
131,147835,0.03,0.57
132,96821,0.15,0.63
133,1917,-0.09,0.49
134,80551,-0.03,0.51
135,109675,-0.2,0.57
136,223,0.28,0.63
137,96829,0.14,0.64
138,165285,0.1,0.46
139,128878,0.03,0.64
140,139417,0.06,0.57
141,127441,0.08,0.34
142,55247,-0.1,0.49
143,2611,0.11,0.39
144,112316,0.3,0.62
145,223,0.22,0.55
146,145773,0.08,0.49
147,155555,0.21,0.48
148,27838,0.25,0.77
149,150850,0.14,0.54
150,53121,0.12,0.56
151,58559,0.36,0.61
152,223,0.3,0.62
153,139655,0.02,0.59
154,133233,0.06,0.41
155,135133,0.25,0.6
156,138036,0.27,0.58
157,136020,-0.15,0.59
158,134528,0.08,0.33
159,136602,0.04,0.47
160,223,-0.15,0.53
161,31952,0.32,0.64
162,159239,0.13,0.51
163,101362,-0.01,0.55
164,102662,0.02,0.43
165,98585,0.12,0.58
166,119145,-0.17,0.57
167,127180,0.04,0.41
168,125916,0.05,0.58
169,223,0.31,0.59
170,1214,0.2,0.66
171,127565,0.27,0.6
172,223,0.24,0.51
173,136020,0.11,0.53
174,142074,-0.25,0.58
175,136020,0.01,0.57
176,69419,0.08,0.49
177,150401,0.03,0.52
178,180963,0.14,0.47
179,223,0.21,0.66
180,117529,0.08,0.52
181,101076,0.17,0.44
182,144760,-0.51,0.62
183,136020,0.3,0.54
184,6952,0.01,0.59
185,134130,0.3,0.36
186,318,0.31,0.48
187,173065,-0.15,0.53
188,223,0.27,0.57
189,72554,0.16,0.54
190,131658,0.09,0.58
191,125916,-0.01,0.63
192,169782,0.37,0.51
193,109487,0.31,0.46
194,223,0.26,0.47
195,103721,0.18,0.42
196,78893,0.1,0.5
197,127212,0.2,0.52
198,1676,0.12,0.49
199,129937,0.23,0.52
200,223,0.29,0.58
201,112515,0.08,0.51
202,135133,0.25,0.58
203,135133,-0.16,0.59
204,132112,0.13,0.41
205,137721,0.27,0.5
206,135133,0.13,0.51
207,142598,-0.09,0.53
208,139642,0.04,0.44
209,142422,0.11,0.68
210,223,0.44,0.69
211,2288,0.13,0.52
212,260,0.37,0.6
213,112070,-0.24,0.47
214,140816,0.11,0.46
215,223,0.17,0.46
216,142422,0.15,0.56
217,140525,-0.01,0.53
218,98415,0.08,0.43
219,127114,0.1,0.45
220,143385,0.37,0.55
221,142422,0.18,0.48
222,165761,0.18,0.56
223,5569,0.07,0.49
224,223,0.19,0.54
225,157561,0.28,0.6
226,5356,0.1,0.57
227,149096,0.29,0.58
228,90578,-0.03,0.5
229,27584,0.06,0.52
230,4908,0.05,0.36
231,87921,0.0,0.51
232,145935,0.15,0.48
233,318,0.5,0.85
234,66090,0.06,0.51
235,168902,0.01,0.46
236,223,0.21,0.59
237,58559,0.22,0.57
238,113853,-0.01,0.33
239,7984,0.04,0.57
240,1,0.19,0.49
241,5152,0.02,0.55
242,120799,-0.22,0.71
243,223,0.13,0.67
244,162390,0.21,0.56
245,134879,0.19,0.52
246,136020,-0.14,0.69
