,movieId,polarity,subjectivity
0,47382,0.36,0.61
1,102751,0.26,0.49
2,45880,0.01,0.46
3,51834,0.36,0.48
4,2116,-0.03,0.48
5,34538,0.1,0.64
6,50703,0.14,0.56
7,6993,0.22,0.54
8,41571,0.19,0.57
9,4342,0.1,0.58
10,3633,0.15,0.54
11,50442,-0.15,0.62
12,2116,0.14,0.51
13,5666,0.06,0.52
14,2092,0.18,0.54
15,170273,-0.01,0.5
16,48997,0.3,0.39
17,2116,-0.14,0.77
18,4768,0.29,0.63
19,164737,0.48,0.64
20,37386,-0.06,0.57
21,3951,0.07,0.43
22,49272,0.39,0.47
23,1299,0.01,0.59
24,38188,0.25,0.54
25,16,0.39,0.56
26,2116,0.17,0.71
27,1175,0.22,0.52
28,51662,0.11,0.44
29,5679,0.19,0.65
30,42385,0.24,0.58
31,25899,0.24,0.52
32,3788,0.15,0.48
33,2116,0.11,0.54
34,81059,0.07,0.51
35,51662,0.11,0.5
36,48516,0.2,0.52
37,53207,0.06,0.6
38,48165,0.05,0.52
39,51662,0.05,0.54
40,4744,-0.09,0.59
41,2116,0.04,0.5
42,51662,0.11,0.32
43,51927,-0.03,0.58
44,51662,0.01,0.58
45,49528,0.16,0.57
46,2841,0.06,0.48
47,51903,0.3,0.56
48,25834,0.07,0.6
49,2116,0.23,0.51
50,51540,0.09,0.5
51,112792,0.06,0.49
52,49220,0.17,0.59
53,51698,0.04,0.53
54,4734,0.22,0.65
55,6231,0.19,0.44
56,2116,-0.01,0.52
57,7234,0.24,0.48
58,3292,0.06,0.5
59,34271,0.17,0.51
60,1062,0.28,0.57
61,88371,0.17,0.54
62,48142,0.08,0.52
63,4098,0.1,0.29
64,48394,0.25,0.56
65,2116,-0.03,0.56
66,47200,0.12,0.37
67,49347,0.05,0.58
68,50806,0.16,0.46
69,44199,0.31,0.64
70,51925,0.32,0.54
71,5971,0.17,0.52
72,8798,-0.13,0.44
73,2116,0.17,0.55
74,3487,0.19,0.49
75,51903,0.18,0.48
76,40574,0.19,0.51
77,1924,0.14,0.72
78,2389,0.19,0.38
79,2116,0.06,0.51
80,51927,0.11,0.52
81,45880,0.3,0.58
82,32988,0.16,0.4
83,133421,0.15,0.37
84,2181,0.05,0.49
85,34326,0.02,0.4
86,2116,0.3,0.52
87,47423,0.17,0.45
88,6810,0.12,0.48
89,132719,0.11,0.57
90,2145,0.19,0.42
91,53468,0.25,0.59
92,4561,-0.06,0.48
93,2116,0.07,0.53
94,2691,0.24,0.44
95,25746,0.26,0.51
96,51662,0.1,0.48
97,1213,0.44,0.57
98,60479,0.28,0.58
99,858,0.37,0.6
100,27482,-0.18,0.56
101,6756,0.06,0.53
102,54910,0.19,0.57
103,40412,0.01,0.57
104,293,0.33,0.63
105,3475,0.46,0.58
106,5254,0.15,0.49
107,51662,-0.01,0.56
108,45361,-0.03,0.54
109,81281,-0.12,0.64
110,2116,0.24,0.32
111,48319,0.13,0.42
112,149094,0.18,0.56
113,3126,-0.08,0.56
114,49651,0.35,0.54
115,45732,0.02,0.55
116,1028,0.43,0.62
117,49338,0.36,0.67
118,4428,0.14,0.53
119,2116,0.13,0.55
120,1584,0.35,0.6
121,8810,0.07,0.52
122,67900,-0.0,0.54
123,51662,0.14,0.51
124,51662,0.44,0.66
125,45950,0.19,0.44
126,148671,0.29,0.62
127,51925,0.19,0.59
128,4535,0.21,0.54
129,2116,0.21,0.54
130,26074,0.28,0.61
131,51086,-0.1,0.69
132,58598,0.1,0.38
133,5400,0.1,0.55
134,49772,0.02,0.57
135,30749,0.19,0.64
136,27684,0.22,0.47
137,2116,0.25,0.53
138,50774,-0.1,0.46
139,7254,0.24,0.66
140,6870,0.13,0.48
141,34148,0.11,0.49
142,51662,-0.0,0.52
143,2692,0.2,0.55
144,6016,0.28,0.43
145,2116,0.0,0.58
146,3147,0.3,0.66
147,51540,-0.06,0.39
148,168820,0.03,0.5
